[TICK 2685] running=0 | ready=38 | finished=12
[TICK 2690] running=0 | ready=38 | finished=12
[TICK 2695] running=0 | ready=38 | finished=12
[TICK 2700] running=0 | ready=38 | finished=12
[TICK 2705] running=0 | ready=38 | finished=12
[TICK 2710] running=0 | ready=38 | finished=12
[TICK 2715] running=0 | ready=38 | finished=12
[TICK 2720] running=0 | ready=38 | finished=12
ID:5012 Nombre:Shader Prioridad:8 Estado:3 Fecha:22/05/2025 Tiempo:0
[TICK 2725] running=0 | ready=37 | finished=13
[TICK 2730] running=0 | ready=37 | finished=13
[TICK 2735] running=0 | ready=37 | finished=13
[TICK 2740] running=0 | ready=37 | finished=13
[TICK 2745] running=0 | ready=37 | finished=13
[TICK 2750] running=0 | ready=37 | finished=13
[TICK 2755] running=0 | ready=37 | finished=13
[TICK 2760] running=0 | ready=37 | finished=13
[TICK 2765] running=0 | ready=37 | finished=13
[TICK 2770] running=0 | ready=37 | finished=13
[TICK 2775] running=0 | ready=37 | finished=13
[TICK 2780] running=0 | ready=37 | finished=13
[TICK 2785] running=0 | ready=37 | finished=13
[TICK 2790] running=0 | ready=37 | finished=13
[TICK 2795] running=0 | ready=37 | finished=13
[TICK 2800] running=0 | ready=37 | finished=13
[TICK 2805] running=0 | ready=37 | finished=13
[TICK 2810] running=0 | ready=37 | finished=13
[TICK 2815] running=0 | ready=37 | finished=13
[TICK 2820] running=0 | ready=37 | finished=13
